vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
1.0       	8.0_64.0	1.0	0.8	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
0.1_0.125 	4.0_64.0	1.0	0.9	37	1250	13846	29	25	4	0.561	0.917	0.916	0.478	0.029	0.561	0.055	0.971
0.1_0.125 	8.0_64.0	1.0	0.9	29	842	8892	15	13	2	0.659	0.913	0.912	0.572	0.033	0.659	0.063	0.967
0.25      	4.0_64.0	1.0	0.9	36	167	4358	30	19	11	0.545	0.963	0.957	0.508	0.177	0.545	0.267	0.823
0.25      	8.0_64.0	1.0	0.9	27	89	2500	17	9	8	0.614	0.966	0.96	0.58	0.233	0.614	0.338	0.767
0.375     	4.0_64.0	1.0	0.9	37	10	428	17	11	6	0.685	0.977	0.945	0.662	0.787	0.685	0.732	0.213
0.375     	8.0_64.0	1.0	0.9	26	3	244	10	7	3	0.722	0.988	0.954	0.71	0.897	0.722	0.8	0.103
0.5       	4.0_64.0	1.0	0.9	59	9	789	19	11	8	0.756	0.989	0.968	0.745	0.868	0.756	0.808	0.132
0.5       	8.0_64.0	1.0	0.9	41	4	427	11	6	5	0.788	0.991	0.969	0.779	0.911	0.788	0.845	0.089
0.7_0.75  	4.0_64.0	1.0	0.9	51	9	263	15	9	6	0.773	0.967	0.929	0.74	0.85	0.773	0.81	0.15
0.7_0.75  	8.0_64.0	1.0	0.9	35	5	141	9	6	3	0.795	0.966	0.926	0.761	0.875	0.795	0.833	0.125
1.0       	4.0_64.0	1.0	0.9	54	10	144	12	9	3	0.818	0.935	0.9	0.753	0.844	0.818	0.831	0.156
1.0       	8.0_64.0	1.0	0.9	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
0.1_0.125 	4.0_64.0	1.0	1.0	37	1213	13883	29	25	4	0.561	0.92	0.918	0.481	0.03	0.561	0.057	0.97
0.1_0.125 	8.0_64.0	1.0	1.0	29	819	8915	15	13	2	0.659	0.916	0.915	0.575	0.034	0.659	0.065	0.966
0.25      	4.0_64.0	1.0	1.0	36	155	4370	30	19	11	0.545	0.966	0.96	0.511	0.188	0.545	0.28	0.812
0.25      	8.0_64.0	1.0	1.0	27	83	2506	17	9	8	0.614	0.968	0.962	0.582	0.245	0.614	0.35	0.755
0.375     	4.0_64.0	1.0	1.0	37	8	430	17	11	6	0.685	0.982	0.949	0.667	0.822	0.685	0.747	0.178
0.375     	8.0_64.0	1.0	1.0	26	2	245	10	7	3	0.722	0.992	0.958	0.714	0.929	0.722	0.813	0.071
0.5       	4.0_64.0	1.0	1.0	59	9	789	19	11	8	0.756	0.989	0.968	0.745	0.868	0.756	0.808	0.132
0.5       	8.0_64.0	1.0	1.0	41	4	427	11	6	5	0.788	0.991	0.969	0.779	0.911	0.788	0.845	0.089
0.7_0.75  	4.0_64.0	1.0	1.0	51	9	263	15	9	6	0.773	0.967	0.929	0.74	0.85	0.773	0.81	0.15
0.7_0.75  	8.0_64.0	1.0	1.0	35	5	141	9	6	3	0.795	0.966	0.926	0.761	0.875	0.795	0.833	0.125
1.0       	4.0_64.0	1.0	1.0	53	10	144	13	9	4	0.803	0.935	0.895	0.738	0.841	0.803	0.822	0.159
1.0       	8.0_64.0	1.0	1.0	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
0.1_0.125 	4.0_64.0	1.1	0.0	37	2248	12848	29	25	4	0.561	0.851	0.85	0.412	0.016	0.561	0.031	0.984
0.1_0.125 	8.0_64.0	1.1	0.0	29	1498	8236	15	13	2	0.659	0.846	0.845	0.505	0.019	0.659	0.037	0.981
0.25      	4.0_64.0	1.1	0.0	42	472	4053	24	19	5	0.636	0.896	0.892	0.532	0.082	0.636	0.145	0.918
